sale_date,store_name,city,state,sku,product_name,category,quantity,unit_price,discount
2025-01-10,Loja Centro SP,São Paulo,SP,SKU-011,Carregador USB-C 65W,Energia,13,115.09,104.78
2025-09-28,Loja Centro SP,São Paulo,SP,SKU-012,SSD Externo 1TB,Armazenamento,22,416.59,0.0
2025-12-04,Loja Savassi,Belo Horizonte,MG,SKU-003,Hub USB-C,Acessórios,13,82.72,0.0
2025-05-09,Loja Savassi,Belo Horizonte,MG,SKU-010,Cabo HDMI 2m,Cabos,13,36.0,0.0
2025-12-19,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-001,Mouse Sem Fio,Periféricos,20,49.18,0.0
2025-09-06,Loja Centro SP,São Paulo,SP,SKU-003,Hub USB-C,Acessórios,12,79.43,0.0
2025-12-20,Loja Centro SP,São Paulo,SP,SKU-006,"Capa Notebook 15""",Acessórios,6,59.47,0.0
2025-11-03,Loja Centro SP,São Paulo,SP,SKU-004,Suporte Monitor,Mobiliário,25,135.66,0.0
2025-03-31,Loja Savassi,Belo Horizonte,MG,SKU-009,Mousepad Gamer XL,Acessórios,8,86.55,46.95
2025-11-18,Loja Asa Norte,Brasília,DF,SKU-007,Headset Gamer,Áudio,22,248.85,0.0
2025-05-06,Loja Centro SP,São Paulo,SP,SKU-003,Hub USB-C,Acessórios,20,76.18,95.02
2025-10-19,Loja Asa Norte,Brasília,DF,SKU-001,Mouse Sem Fio,Periféricos,18,51.85,0.0
2025-03-15,Loja Batel,Curitiba,PR,SKU-002,Teclado Mecânico,Periféricos,11,182.78,105.55
2025-08-11,Loja Batel,Curitiba,PR,SKU-007,Headset Gamer,Áudio,12,255.34,484.96
2025-10-09,Loja Asa Norte,Brasília,DF,SKU-009,Mousepad Gamer XL,Acessórios,4,89.22,0.0
2025-03-25,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-005,Webcam Full HD,Periféricos,21,196.33,0.0
2025-08-09,Loja Batel,Curitiba,PR,SKU-010,Cabo HDMI 2m,Cabos,6,34.01,28.24
2025-10-05,Loja Batel,Curitiba,PR,SKU-005,Webcam Full HD,Periféricos,22,201.16,0.0
2025-10-31,Loja Batel,Curitiba,PR,SKU-011,Carregador USB-C 65W,Energia,9,118.65,0.0
2025-06-29,Loja Asa Norte,Brasília,DF,SKU-008,Caixa de Som Bluetooth,Áudio,4,165.32,0.0
2025-01-16,Loja Batel,Curitiba,PR,SKU-012,SSD Externo 1TB,Armazenamento,17,415.9,0.0
2025-05-05,Loja Batel,Curitiba,PR,SKU-003,Hub USB-C,Acessórios,11,76.64,0.0
2025-03-01,Loja Asa Norte,Brasília,DF,SKU-006,"Capa Notebook 15""",Acessórios,2,60.97,7.6
2025-04-23,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-014,Filtro de Tela Privacidade,Acessórios,9,156.39,0.0
2025-11-28,Loja Asa Norte,Brasília,DF,SKU-007,Headset Gamer,Áudio,3,255.05,0.0
2025-01-09,Loja Savassi,Belo Horizonte,MG,SKU-007,Headset Gamer,Áudio,24,247.68,0.0
2025-05-30,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-012,SSD Externo 1TB,Armazenamento,22,402.5,495.48
2025-04-18,Loja Batel,Curitiba,PR,SKU-015,Luz LED para Mesa,Iluminação,18,188.89,0.0
2025-11-13,Loja Centro SP,São Paulo,SP,SKU-005,Webcam Full HD,Periféricos,10,190.08,0.0
2025-02-05,Loja Batel,Curitiba,PR,SKU-001,Mouse Sem Fio,Periféricos,18,50.69,0.0
2025-01-11,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-005,Webcam Full HD,Periféricos,15,208.43,0.0
2025-11-07,Loja Asa Norte,Brasília,DF,SKU-013,Pen Drive 128GB,Armazenamento,16,72.77,0.0
2025-06-18,Loja Savassi,Belo Horizonte,MG,SKU-002,Teclado Mecânico,Periféricos,5,189.56,145.89
2025-06-25,Loja Centro SP,São Paulo,SP,SKU-012,SSD Externo 1TB,Armazenamento,3,412.74,0.0
2025-05-20,Loja Asa Norte,Brasília,DF,SKU-011,Carregador USB-C 65W,Energia,12,125.49,0.0
2025-02-11,Loja Savassi,Belo Horizonte,MG,SKU-008,Caixa de Som Bluetooth,Áudio,15,162.11,0.0
2025-08-01,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-008,Caixa de Som Bluetooth,Áudio,6,159.78,39.92
2025-07-25,Loja Batel,Curitiba,PR,SKU-010,Cabo HDMI 2m,Cabos,20,35.31,0.0
2025-01-26,Loja Centro SP,São Paulo,SP,SKU-014,Filtro de Tela Privacidade,Acessórios,4,151.81,27.37
2025-10-24,Loja Savassi,Belo Horizonte,MG,SKU-001,Mouse Sem Fio,Periféricos,7,48.78,0.0
2025-09-09,Loja Savassi,Belo Horizonte,MG,SKU-011,Carregador USB-C 65W,Energia,10,121.89,0.0
2025-10-31,Loja Batel,Curitiba,PR,SKU-008,Caixa de Som Bluetooth,Áudio,7,154.63,63.09
2025-06-06,Loja Centro SP,São Paulo,SP,SKU-003,Hub USB-C,Acessórios,4,81.78,0.0
2025-03-23,Loja Batel,Curitiba,PR,SKU-011,Carregador USB-C 65W,Energia,9,123.54,44.04
2025-02-08,Loja Savassi,Belo Horizonte,MG,SKU-004,Suporte Monitor,Mobiliário,8,130.83,52.9
2025-04-28,Loja Asa Norte,Brasília,DF,SKU-004,Suporte Monitor,Mobiliário,5,136.06,0.0
2025-10-12,Loja Savassi,Belo Horizonte,MG,SKU-010,Cabo HDMI 2m,Cabos,22,35.68,146.6
2025-12-03,Loja Asa Norte,Brasília,DF,SKU-012,SSD Externo 1TB,Armazenamento,11,381.07,740.4
2025-05-17,Loja Asa Norte,Brasília,DF,SKU-005,Webcam Full HD,Periféricos,16,195.51,200.96
2025-05-09,Loja Savassi,Belo Horizonte,MG,SKU-009,Mousepad Gamer XL,Acessórios,20,91.64,75.44
2025-07-18,Loja Batel,Curitiba,PR,SKU-009,Mousepad Gamer XL,Acessórios,14,86.21,0.0
2025-04-23,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-012,SSD Externo 1TB,Armazenamento,21,416.27,0.0
2025-10-23,Loja Savassi,Belo Horizonte,MG,SKU-008,Caixa de Som Bluetooth,Áudio,22,164.08,0.0
2025-12-26,Loja Batel,Curitiba,PR,SKU-003,Hub USB-C,Acessórios,19,75.93,0.0
2025-02-12,Loja Batel,Curitiba,PR,SKU-014,Filtro de Tela Privacidade,Acessórios,10,155.96,64.73
2025-02-07,Loja Centro SP,São Paulo,SP,SKU-008,Caixa de Som Bluetooth,Áudio,21,153.85,135.58
2025-10-01,Loja Asa Norte,Brasília,DF,SKU-007,Headset Gamer,Áudio,7,240.66,134.37
2025-06-19,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-008,Caixa de Som Bluetooth,Áudio,13,164.53,0.0
2025-08-05,Loja Batel,Curitiba,PR,SKU-011,Carregador USB-C 65W,Energia,3,124.07,0.0
2025-06-07,Loja Batel,Curitiba,PR,SKU-007,Headset Gamer,Áudio,13,250.98,0.0
2025-06-24,Loja Centro SP,São Paulo,SP,SKU-008,Caixa de Som Bluetooth,Áudio,1,166.24,0.0
2025-05-07,Loja Asa Norte,Brasília,DF,SKU-004,Suporte Monitor,Mobiliário,13,130.88,0.0
2025-12-25,Loja Asa Norte,Brasília,DF,SKU-015,Luz LED para Mesa,Iluminação,7,182.68,0.0
2025-07-10,Loja Savassi,Belo Horizonte,MG,SKU-005,Webcam Full HD,Periféricos,20,207.25,644.35
2025-02-09,Loja Batel,Curitiba,PR,SKU-015,Luz LED para Mesa,Iluminação,24,179.13,0.0
2025-05-02,Loja Centro SP,São Paulo,SP,SKU-007,Headset Gamer,Áudio,18,238.0,0.0
2025-05-23,Loja Asa Norte,Brasília,DF,SKU-013,Pen Drive 128GB,Armazenamento,5,71.86,22.16
2025-01-13,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-002,Teclado Mecânico,Periféricos,5,198.24,0.0
2025-04-09,Loja Batel,Curitiba,PR,SKU-015,Luz LED para Mesa,Iluminação,1,186.2,29.55
2025-11-30,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-015,Luz LED para Mesa,Iluminação,21,182.14,0.0
2025-06-03,Loja Savassi,Belo Horizonte,MG,SKU-011,Carregador USB-C 65W,Energia,22,118.05,0.0
2025-05-03,Loja Batel,Curitiba,PR,SKU-003,Hub USB-C,Acessórios,9,77.8,53.43
2025-03-20,Loja Asa Norte,Brasília,DF,SKU-007,Headset Gamer,Áudio,13,246.55,0.0
2025-12-27,Loja Asa Norte,Brasília,DF,SKU-001,Mouse Sem Fio,Periféricos,9,50.6,57.86
2025-04-30,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-010,Cabo HDMI 2m,Cabos,6,33.74,0.0
2025-10-19,Loja Centro SP,São Paulo,SP,SKU-001,Mouse Sem Fio,Periféricos,13,50.09,43.63
2025-07-10,Loja Savassi,Belo Horizonte,MG,SKU-002,Teclado Mecânico,Periféricos,15,190.49,0.0
2025-09-09,Loja Batel,Curitiba,PR,SKU-005,Webcam Full HD,Periféricos,2,200.98,18.13
2025-02-16,Loja Centro SP,São Paulo,SP,SKU-004,Suporte Monitor,Mobiliário,15,135.98,0.0
2025-02-15,Loja Batel,Curitiba,PR,SKU-008,Caixa de Som Bluetooth,Áudio,8,159.02,44.48
2025-09-21,Loja Centro SP,São Paulo,SP,SKU-006,"Capa Notebook 15""",Acessórios,2,59.37,5.03
2025-02-14,Loja Centro SP,São Paulo,SP,SKU-002,Teclado Mecânico,Periféricos,8,183.08,96.98
2025-09-05,Loja Savassi,Belo Horizonte,MG,SKU-003,Hub USB-C,Acessórios,4,77.19,0.0
2025-06-13,Loja Batel,Curitiba,PR,SKU-005,Webcam Full HD,Periféricos,4,199.64,0.0
2025-04-17,Loja Savassi,Belo Horizonte,MG,SKU-012,SSD Externo 1TB,Armazenamento,20,411.92,0.0
2025-05-17,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-005,Webcam Full HD,Periféricos,1,207.84,0.0
2025-05-13,Loja Batel,Curitiba,PR,SKU-004,Suporte Monitor,Mobiliário,10,125.62,185.11
2025-09-13,Loja Asa Norte,Brasília,DF,SKU-012,SSD Externo 1TB,Armazenamento,8,412.48,0.0
2025-06-06,Loja Centro SP,São Paulo,SP,SKU-005,Webcam Full HD,Periféricos,22,198.88,0.0
2025-07-15,Loja Batel,Curitiba,PR,SKU-012,SSD Externo 1TB,Armazenamento,18,412.79,0.0
2025-09-16,Loja Centro SP,São Paulo,SP,SKU-004,Suporte Monitor,Mobiliário,23,135.36,0.0
2025-12-28,Loja Savassi,Belo Horizonte,MG,SKU-012,SSD Externo 1TB,Armazenamento,21,395.18,0.0
2025-06-06,Loja Centro SP,São Paulo,SP,SKU-007,Headset Gamer,Áudio,9,244.38,0.0
2025-10-14,Loja Savassi,Belo Horizonte,MG,SKU-002,Teclado Mecânico,Periféricos,4,192.13,0.0
2025-03-25,Loja Batel,Curitiba,PR,SKU-015,Luz LED para Mesa,Iluminação,10,184.38,56.17
2025-03-28,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-009,Mousepad Gamer XL,Acessórios,7,92.61,41.5
2025-11-24,Loja Savassi,Belo Horizonte,MG,SKU-001,Mouse Sem Fio,Periféricos,16,47.73,0.0
2025-07-06,Loja Centro SP,São Paulo,SP,SKU-003,Hub USB-C,Acessórios,10,83.67,0.0
2025-04-13,Loja Asa Norte,Brasília,DF,SKU-010,Cabo HDMI 2m,Cabos,11,35.88,0.0
2025-05-12,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-012,SSD Externo 1TB,Armazenamento,3,382.9,0.0
2025-12-07,Loja Asa Norte,Brasília,DF,SKU-013,Pen Drive 128GB,Armazenamento,23,66.78,0.0
2025-05-05,Loja Savassi,Belo Horizonte,MG,SKU-012,SSD Externo 1TB,Armazenamento,1,395.7,0.0
2025-12-07,Loja Savassi,Belo Horizonte,MG,SKU-004,Suporte Monitor,Mobiliário,24,126.24,0.0
2025-11-23,Loja Centro SP,São Paulo,SP,SKU-013,Pen Drive 128GB,Armazenamento,11,71.25,0.0
2025-09-28,Loja Savassi,Belo Horizonte,MG,SKU-010,Cabo HDMI 2m,Cabos,18,35.7,33.84
2025-06-27,Loja Centro SP,São Paulo,SP,SKU-010,Cabo HDMI 2m,Cabos,6,36.16,0.0
2025-10-28,Loja Batel,Curitiba,PR,SKU-007,Headset Gamer,Áudio,18,261.43,0.0
2025-07-09,Loja Batel,Curitiba,PR,SKU-012,SSD Externo 1TB,Armazenamento,4,401.35,0.0
2025-12-11,Loja Batel,Curitiba,PR,SKU-014,Filtro de Tela Privacidade,Acessórios,3,153.69,69.44
2025-07-24,Loja Batel,Curitiba,PR,SKU-007,Headset Gamer,Áudio,20,261.66,0.0
2025-07-18,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-003,Hub USB-C,Acessórios,23,78.52,0.0
2025-06-29,Loja Batel,Curitiba,PR,SKU-005,Webcam Full HD,Periféricos,14,196.78,0.0
2025-03-25,Loja Asa Norte,Brasília,DF,SKU-014,Filtro de Tela Privacidade,Acessórios,2,145.04,40.52
2025-08-11,Loja Batel,Curitiba,PR,SKU-001,Mouse Sem Fio,Periféricos,18,49.25,88.72
2025-09-15,Loja Centro SP,São Paulo,SP,SKU-003,Hub USB-C,Acessórios,25,82.74,87.07
2025-05-27,Loja Batel,Curitiba,PR,SKU-015,Luz LED para Mesa,Iluminação,8,175.51,0.0
2025-04-09,Loja Batel,Curitiba,PR,SKU-013,Pen Drive 128GB,Armazenamento,13,72.14,121.85
2025-07-25,Loja Savassi,Belo Horizonte,MG,SKU-008,Caixa de Som Bluetooth,Áudio,20,154.05,0.0
2025-02-14,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-011,Carregador USB-C 65W,Energia,9,122.89,0.0
2025-10-08,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-007,Headset Gamer,Áudio,19,249.31,163.48
2025-05-29,Loja Centro SP,São Paulo,SP,SKU-007,Headset Gamer,Áudio,16,254.65,254.42
2025-05-06,Loja Batel,Curitiba,PR,SKU-007,Headset Gamer,Áudio,1,244.16,0.0
2025-12-09,Loja Asa Norte,Brasília,DF,SKU-010,Cabo HDMI 2m,Cabos,23,34.83,55.85
2025-07-20,Loja Batel,Curitiba,PR,SKU-008,Caixa de Som Bluetooth,Áudio,15,161.87,0.0
2025-02-01,Loja Centro SP,São Paulo,SP,SKU-008,Caixa de Som Bluetooth,Áudio,10,166.43,132.31
2025-01-05,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-010,Cabo HDMI 2m,Cabos,8,34.55,31.46
2025-04-15,Loja Batel,Curitiba,PR,SKU-005,Webcam Full HD,Periféricos,7,196.76,0.0
2025-04-29,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-008,Caixa de Som Bluetooth,Áudio,2,161.7,0.0
2025-03-31,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-012,SSD Externo 1TB,Armazenamento,14,405.73,0.0
2025-02-26,Loja Savassi,Belo Horizonte,MG,SKU-002,Teclado Mecânico,Periféricos,7,190.48,179.92
2025-04-26,Loja Centro SP,São Paulo,SP,SKU-006,"Capa Notebook 15""",Acessórios,11,62.67,29.22
2025-10-14,Loja Batel,Curitiba,PR,SKU-008,Caixa de Som Bluetooth,Áudio,7,156.76,0.0
2025-08-05,Loja Batel,Curitiba,PR,SKU-015,Luz LED para Mesa,Iluminação,17,171.74,196.42
2025-10-01,Loja Centro SP,São Paulo,SP,SKU-003,Hub USB-C,Acessórios,4,83.47,0.0
2025-04-02,Loja Centro SP,São Paulo,SP,SKU-009,Mousepad Gamer XL,Acessórios,25,87.36,0.0
2025-08-23,Loja Asa Norte,Brasília,DF,SKU-013,Pen Drive 128GB,Armazenamento,21,71.76,0.0
2025-12-02,Loja Asa Norte,Brasília,DF,SKU-010,Cabo HDMI 2m,Cabos,24,34.85,28.49
2025-10-03,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-007,Headset Gamer,Áudio,13,244.96,116.59
2025-10-31,Loja Asa Norte,Brasília,DF,SKU-008,Caixa de Som Bluetooth,Áudio,23,166.37,116.16
2025-01-17,Loja Centro SP,São Paulo,SP,SKU-007,Headset Gamer,Áudio,6,254.33,68.74
2025-10-05,Loja Savassi,Belo Horizonte,MG,SKU-001,Mouse Sem Fio,Periféricos,19,50.03,0.0
2025-05-08,Loja Savassi,Belo Horizonte,MG,SKU-013,Pen Drive 128GB,Armazenamento,23,67.32,0.0
2025-08-08,Loja Asa Norte,Brasília,DF,SKU-006,"Capa Notebook 15""",Acessórios,23,59.25,181.29
2025-08-16,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-001,Mouse Sem Fio,Periféricos,20,51.1,0.0
2025-05-07,Loja Centro SP,São Paulo,SP,SKU-013,Pen Drive 128GB,Armazenamento,16,68.37,0.0
2025-09-17,Loja Savassi,Belo Horizonte,MG,SKU-003,Hub USB-C,Acessórios,7,76.42,0.0
2025-12-19,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-015,Luz LED para Mesa,Iluminação,15,171.54,186.34
2025-12-12,Loja Asa Norte,Brasília,DF,SKU-011,Carregador USB-C 65W,Energia,8,123.73,0.0
2025-05-18,Loja Asa Norte,Brasília,DF,SKU-008,Caixa de Som Bluetooth,Áudio,6,161.4,142.8
2025-10-06,Loja Savassi,Belo Horizonte,MG,SKU-009,Mousepad Gamer XL,Acessórios,13,93.96,0.0
2025-04-10,Loja Centro SP,São Paulo,SP,SKU-012,SSD Externo 1TB,Armazenamento,23,385.5,488.01
2025-02-19,Loja Savassi,Belo Horizonte,MG,SKU-010,Cabo HDMI 2m,Cabos,11,35.07,0.0
2025-10-17,Loja Centro SP,São Paulo,SP,SKU-011,Carregador USB-C 65W,Energia,1,118.24,0.0
2025-10-16,Loja Asa Norte,Brasília,DF,SKU-002,Teclado Mecânico,Periféricos,23,185.46,204.89
2025-11-04,Loja Shopping RJ,Rio de Janeiro,RJ,SKU-007,Headset Gamer,Áudio,20,259.39,0.0
2025-05-01,Loja Savassi,Belo Horizonte,MG,SKU-012,SSD Externo 1TB,Armazenamento,15,404.81,0.0
2025-04-26,Loja Centro SP,São Paulo,SP,SKU-011,Carregador USB-C 65W,Energia,18,114.92,136.65
